MRF Item #,Default Item #,New,Main Category,Subcategory 1,Options,Item Name,Price Category,Min Qty,Min -47,48-95,96-239,240-479,480-959,300-599,600-2399,Mfg Code,Setup Charge Applies,Web Copy,Sales Flyer Copy,Ingredient Box (List of Ingredients),Kosher,Made in America,Units/Case,Ship Weight Each,Weight per Case,Dimensional Weight Applies,Description,Product Dimensions L,Product Dimensions W,Product Dimensions H,Additional Description,Addt'l Dimensions L,Addt'l Dimensions W,Addt'l Dimensions H,Imprint Details,Imprint Dimensions L,Imprint Dimensions W,Packaging,Individual Mailing Carton,Extra Bullets,Production Time,Default Inventory Quantity,Virtual Link,Hero Image Filename,Full-Size Filename,Thumbnail Filename,,,,,,,,,,,,,,,,,,,,,,,,,
NPD124,RPD124,,9,9,60,Chocolate Covered Almonds in Premium Delights Gift Box,2,24,10.99,10.99,10.95,10.95,10.89,,,3C,X,"These Chocolate Covered Almonds are made with real cocoa.  By combining the rich flavor of premium chocolate with toasted California almonds that are high in fiber and loaded with vitamin E, we’ve created a delicious healthy snack that you can enjoy without feeling guilty.  Each box contains five-ounces.  Your choice of dark navy, bright red, or ivory gift boxes are foil-stamped with your logo. Navy and red gift boxes are complete with your choice of gold imprint with gold bow or silver imprint with silver bow. Ivory gift boxes are complete with your choice of black, gold, silver, blue, green, or red imprint with metallic bow.","These Chocolate Covered Almonds are made with real cocoa.  By combining the rich flavor of premium chocolate with toasted California almonds that are high in fiber and loaded with vitamin E, we’ve created a delicious healthy snack that you can enjoy without feeling guilty.  Each box contains five-ounces.  Dark navy gift boxes are foil-stamped with your logo. Your choice of gold imprint with gold bow; or silver imprint with silver bow.",,X,,48,1,30,X,Gift Box,3.5,2,6,,,,,Price includes imprint foil-stamped in gold or silver on gift box.,2,2,Individual mailing carton is available at additional charge.,IMC-PD,"Maximum size for enclosure cards: 5"" x 3.25"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPD124_HERO.jpg,NPD124_WEB.jpg,NPD124_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPD129,SPD129,,9,9,60,Peppermint Bark in Premium Delights Gift Box,2,24,12.99,12.99,12.95,12.95,12.89,,,3C,X,"Our Peppermint Bark adds a delightful twist to the classic candy cane. We begin with a delicious, creamy confection on top of a layer of dark chocolate, then add a touch of genuine peppermint oil and a generous sprinkling of real candy cane bits.   Just break into pieces to share and enjoy!  Each box contains five-ounces.  Your choice of dark navy, bright red, or ivory gift boxes are foil-stamped with your logo. Navy and red gift boxes are complete with your choice of gold imprint with gold bow or silver imprint with silver bow. Ivory gift boxes are complete with your choice of black, gold, silver, blue, green, or red imprint with metallic bow.","Our Peppermint Bark adds a delightful twist to the classic candy cane. We begin with a delicious, creamy confection on top of a layer of dark chocolate, then add a touch of genuine peppermint oil and a generous sprinkling of real candy cane bits.   Just break into pieces to share and enjoy!  Each box contains five-ounces.  Dark navy gift boxes are foil-stamped with your logo. Your choice of gold imprint with gold bow; or silver imprint with silver bow.",,,,48,1,30,X,Gift Box,3.5,2,6,,,,,Price includes imprint foil-stamped in gold or silver on gift box.,2,2,Individual mailing carton is available at additional charge.,IMC-PD,"Maximum size for enclosure cards: 5"" x 3.25"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPD129_HERO.jpg,NPD129_WEB.jpg,NPD129_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPD141,NPD141,,9,9,60,Jumbo California Pistachios in Premium Delights Gift Box,1,24,10.99,10.99,10.95,10.95,10.89,,,3C,X,"If you love extraordinary pistachios, you'll not only appreciate these, you won't be able to stop eating them.  These are the exceptionally flavorful ""new crop"" pistachios, straight from California, packed fresh and crunchy for your enjoyment.  Pistachios contain iron, protein and high levels of magnesium, which helps lower blood pressure.  Each gift box contains four-ounces.  Your choice of dark navy, bright red, or ivory gift boxes are foil-stamped with your logo. Navy and red gift boxes are complete with your choice of gold imprint with gold bow or silver imprint with silver bow. Ivory gift boxes are complete with your choice of black, gold, silver, blue, green, or red imprint with metallic bow.","If you love extraordinary pistachios, you'll not only appreciate these, you won't be able to stop eating them.  These are the exceptionally flavorful ""new crop"" pistachios, straight from California, packed fresh and crunchy for your enjoyment.  Pistachios contain iron, protein and high levels of magnesium, which helps lower blood pressure.  Each gift box contains 1/4 lb.  Dark navy gift boxes are foil-stamped with your logo. Your choice of gold imprint with gold bow; or silver imprint with silver bow.",,,,48,1,30,X,Gift Box,3.5,2,6,,,,,Price includes imprint foil-stamped in gold or silver on gift box.,2,2,Individual mailing carton is available at additional charge.,IMC-PD,"Maximum size for enclosure cards: 5"" x 3.25"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPD141_HERO.jpg,NPD141_WEB.jpg,NPD141_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPD143,NPD143,,9,9,60,Cocoa Dusted Truffles in Premium Delights Gift Box,2,24,11.99,11.99,11.95,11.95,11.89,,,3C,X,"Crafted in the centuries-old tradition of Europe's finest chocolatiers, our rich, creamy truffles offer the ultimate in chocolate enjoyment. Each decadent center is carefully blended for supreme smoothness, then gently dusted with premium cocoa to create a soft, sophisticated finish.  Each box contains 11 truffles.  Your choice of dark navy, bright red, or ivory gift boxes are foil-stamped with your logo. Navy and red gift boxes are complete with your choice of gold imprint with gold bow or silver imprint with silver bow. Ivory gift boxes are complete with your choice of black, gold, silver, blue, green, or red imprint with metallic bow.","Crafted in the centuries-old tradition of Europe's finest chocolatiers, our rich, creamy truffles offer the ultimate in chocolate enjoyment. Each decadent center is carefully blended for supreme smoothness, then gently dusted with premium cocoa to create a soft, sophisticated finish.  Each box contains 11 truffles.  Dark navy gift boxes are foil-stamped with your logo. Your choice of gold imprint with gold bow; or silver imprint with silver bow.",,,,48,1,30,X,Gift Box,3.5,2,6,,,,,Price includes imprint foil-stamped in gold or silver on gift box.,2,2,Individual mailing carton is available at additional charge.,IMC-PD,"Maximum size for enclosure cards: 5"" x 3.25"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPD143_HERO.jpg,NPD143_WEB.jpg,NPD143_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPT2745,RPT2745,,10,,76,"""Park Avenue"" Party Tower",6,12,52.95,52.65,51.95,,,,,3C,X,"This tower would be right at home on Park Avenue, the center of style and grace in America.  Your choice of red and white or navy and white pillow-top boxes is packed with four great gourmet treats that will get the party off to a great start... smooth and creamy Cocoa Dusted Truffles, our famous Chocolate Covered Almonds, fresh-roasted Extra Fancy Jumbo Cashews, and Pecan Turtles. Show your customers and employees how much you appreciate them by sending this exceptionally flavorful gift. Serves 6-9.","This tower would be right at home on Park Avenue, the center of style and grace in New York City. The navy blue and white pillowtop boxes are packed with four tremendous gourmet treats that are guaranteed to get the party off to a wonderful start... smooth and creamy Cocoa Dusted Truffles, our famous Chocolate Covered Almonds, fresh-roasted Extra Fancy Jumbo Cashews, and Pecan Turtles. Show your customers and employees how much you appreciate them by sending this exceptionally flavorful and elegant gift. Serves 6-9.","Cocoa Dusted Truffles, 3.5 oz. (11 pieces)
Chocolate Covered Almonds, 5 oz.
Extra Fancy Jumbo Cashews, 5 oz.
Pecan Turtles, 6 oz. (12 pieces)",,X,6,3,14,,Tower,7.375,3.875,6.75,,,,,Price includes imprint foil-stamped in white on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPT2745_HERO.jpg,NPT2745_WEB.jpg,NPT2745_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPT2915,,X,10,,,"""Park Avenue"" Sweet Celebration Tower",6,12,49.95,49.65,48.95,,,,,3C,X,"A beautiful and delicious way to show your appreciation to customers and employees! This elegant pillow-top tower is filled with four taste tempting treats: Five-ounces each of Chocolate Sea Salt Caramel Corn, All That Jazz Mix, Swedish Fish; and two and a half-ounces of Gourmet Chocolate Chip Cookies. All are tied together with a navy satin ribbon foil-stamped in white with your logo or imprint. Serves 7-10.","A beautiful and delicious way to show your appreciation to customers and employees! This elegant pillow-top tower is filled with four taste tempting treats: Five-ounces each of Chocolate Sea Salt Caramel Corn, All That Jazz Mix, Swedish Fish; and two and a half-ounces of Gourmet Chocolate Chip Cookies. All are tied together with a navy satin ribbon foil-stamped in white with your logo or imprint. Serves 7-10.","Chocolate Sea Salt Caramel Corn, 5 oz.
All That Jazz Mix, 5 oz.
Swedish Fish, 5 oz.
Gourmet Chocolate Chip Cookies, 2.5 oz.",,X,6,3,13,,Tower,7.375,3.875,6.75,,,,,Price includes imprint foil-stamped in white on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPT2915_HERO.jpg,NPT2915_WEB.jpg,NPT2915_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPT3567,NPT3567,,10,,77,"""Park Avenue"" Tower of Sweets",7,8,69.95,69.65,68.95,,,,,3C,X,"Rich navy or red gift boxes with white pillow-top lids give these towers a real ""Park Avenue"" feel. You won't find towers like this anywhere! We start with our signature English Butter Toffee made with plenty of dairy-fresh butter, then add Pecan Turtles, our legendary Chocolate Covered Almonds, Cocoa Dusted Truffles, fresh-roasted Deluxe Mixed Nuts, and Chocolate Sea Salt Caramel Corn. We tie these beautiful gift boxes together with satin ribbon foil-stamped with your logo. When we say ""Park Avenue"" we mean ""Park Avenue""! Serves 12-16.","Rich navy gift boxes with white pillow-top lids give these towers a real ""Park Avenue"" feel. You won't find towers like this anywhere! We start with our signature English Butter Toffee made with plenty of dairy-fresh butter, then add Pecan Turtles, our legendary Chocolate Covered Almonds, Cocoa Dusted Truffles, fresh-roasted Deluxe Mixed Nuts, and Chocolate Sea Salt Caramel Corn. We tie these beautiful gift boxes together with a matching navy blue ribbon foil-stamped in white with your logo. When we say ""Park Avenue"" we mean ""Park Avenue""! Serves 12-16.","English Butter Toffee, 5 oz. (12 pieces)
Pecan Turtles, 6 oz. (12 pieces)
Cocoa Dusted Truffles, 3.5 oz. (11 pieces)
Chocolate Covered Almonds, 5 oz.
Deluxe Mixed Nuts, 5 oz.
Chocolate Sea Salt Caramel Corn, 5 oz.",,X,4,4,19,,Tower,7.375,7.375,6.75,,,,,Price includes imprint foil-stamped in white on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPT3567_HERO.jpg,NPT3567_WEB.jpg,NPT3567_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPT444,,X,10,,,Pillow-Top Stacker,4,12,39.95,39.65,38.95,,,,,3C,X,"This is a beautiful and tasteful way to show your appreciation to customers and employees! This elegant pillow-top tower is filled with five-ounces each of four taste-tempting treats: Swedish Fish, All That Jazz Mix, Peppermint Pretzel Bitz, and Ranch Flavored Peanuts. It’s all wrapped together with a navy blue ribbon with your logo foil-stamped in white. Serves 7-10.","This is a beautiful and tasteful way to show your appreciation to customers and employees! This elegant pillow-top tower is filled with five-ounces each of four taste-tempting treats: Swedish Fish, All That Jazz Mix, Peppermint Pretzel Bitz, and Ranch Flavored Peanuts. It’s all wrapped together with a navy blue ribbon with your logo foil-stamped in white. Serves 7-10.","Swedish Fish, 5 oz.
All That Jazz Mix, 5 oz.
Peppermint Pretzel Bitz, 5 oz.
Ranch Flavored Peanuts, 5 oz.",,X,12,3,37,,Tower,3.875,3.875,9,,,,,Price includes imprint foil-stamped in white on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPT444_HERO.jpg,NPT444_WEB.jpg,NPT444_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPT5614,,X,10,,,Sweet & Savory Sensation,6,12,59.95,59.65,58.95,,,,,3C,X,"This bright festive tower contains an excellent assortment of sweet and savory treats that are nutritious as well as delicious! We include fresh-roasted Jumbo California Pistachios, Ranch Flavored Peanuts, BBQ Smoked Almonds, our legendary Chocolate Covered Almonds, Turkish Apricots, Savory Fruit & Nut Mix and Cranberry & Walnut Mix. It’s almost too beautiful to open, but imagining what’s inside is too much temptation for anyone! Your logo is foil-stamped in white on the navy satin ribbon. Serves 15-20.","This bright festive tower contains an excellent assortment of sweet and savory treats that are nutritious as well as delicious! We include fresh-roasted Jumbo California Pistachios, Ranch Flavored Peanuts, BBQ Smoked Almonds, our legendary Chocolate Covered Almonds, Turkish Apricots, Savory Fruit & Nut Mix and Cranberry & Walnut Mix. It’s almost too beautiful to open, but imagining what’s inside is too much temptation for anyone! Your logo is foil-stamped in white on the navy satin ribbon. Serves 15-20.","Fancy Turkish Apricots, 5 oz.
Savory Fruit & Nut Mix, 5 oz.
Cranberry & Walnut Mix, 5 oz.
California Pistachios, 1/4 lb.
Milk Chocolate Almonds, 5 oz.
Ranch Flavored Peanuts, 5 oz.
BBQ Smoked Almonds, 5 oz.",,X,6,4,21,,Tower,7.375,3.875,9,,,,,Price includes imprint foil-stamped in white on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPT5614_HERO.jpg,NPT5614_WEB.jpg,NPT5614_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPT749,NPT749,,10,,76,"""Park Avenue"" Tower of Chocolate",6,6,69.95,69.65,68.95,,,,,3C,X,"This tower is the perfect gift for every “chocolate lover” on your list, and who isn’t? The elegant pillow-top boxes create a tower worthy of its “Park Avenue” designation. As beautiful as the tower is, it’s what’s inside that makes it truly spectacular—Chocolate Sea Salt Caramels, Cocoa Dusted Truffles, Chocolate Covered Pretzels and more. We foil-stamp your logo on the ribbon. Your customers and employees will be thrilled to receive this gift. Serves 12-18.","This tower is the perfect gift for every “chocolate lover” on your list, and who isn’t? The elegant pillow-top boxes create a tower worthy of its “Park Avenue” designation. As beautiful as the tower is, it’s what’s inside that makes it truly spectacular—Chocolate Sea Salt Caramels, Cocoa Dusted Truffles, Chocolate Covered Pretzels and more. We foil-stamp your logo in white on navy ribbon. Your customers and employees will be thrilled to receive this gift. Serves 12-18.","8 Chocolate Sea Salt Caramels, 4.75 oz.
11 Cocoa Dusted Truffles, 3.5 oz.
3 Chocolate Dipped Pretzels, 2.4 oz.
Almond Pecan Caramel Corn, 3/4 lb.
Fresh-Roasted Deluxe Mixed Nuts, 5 oz.",,X,4,5,19,X,Tower,7.375,7.375,9,,,,,Price includes imprint foil-stamped in white on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPT749_HERO.jpg,NPT749_WEB.jpg,NPT749_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NPT877,RPT877,,10,,76,"The ""Park Avenue"" Ultimate Tower of Treats",8,6,125.95,124.95,123.95,,,,,3C,X,"Here’s a great way to show your appreciation and create some real excitement! Just imagine your customers or employees opening these rich “Park Avenue” style pillow-top boxes to discover this wonderful collection of premium confections... crunchy English Butter Toffee, smooth Cocoa Dusted Truffles, creamy Peppermint Bark, our famous Chocolate Covered Almonds and more. We foil-stamp your logo on the satin ribbon. They’ll love you for sending this tower! Serves 18-25.","Here’s a great way to show your appreciation and create some real excitement! Just imagine your customers or employees opening these rich “Park Avenue” style pillow-top boxes to discover this wonderful collection of premium confections... crunchy English Butter Toffee, smooth Cocoa Dusted Truffles, creamy Peppermint Bark, our famous Chocolate Covered Almonds and more. We foil-stamp your logo in white on navy satin ribbon. They’ll love you for sending this tower! Serves 18-25.","24 Pieces of English Butter Toffee, 11 oz.
Deluxe Mixed Nuts, 5 oz.
Chocolate Covered Peanuts, 6 oz.
11 Cocoa Dusted Truffles, 3.5 oz.
Chocolate Covered Almonds, 5 oz.
Peppermint Bark, 5 oz.
3 Chocolate Dipped Pretzels, 2.4 oz.
Almond Pecan Caramel Corn, 3/4 lb.",,X,4,7,30,X,Tower,7.375,7.375,13.375,,,,,Price includes imprint foil-stamped in white on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NPT877_HERO.jpg,NPT877_WEB.jpg,NPT877_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NSF2715,,,10,,,Gourmet Snowflake Tower,5,12,49.95,49.65,48.95,,,,,3C,X,"This gourmet tower is packed with an abundance of luscious gourmet treats guaranteed to bring plenty of smiles! We begin with creamy Peppermint Bark and our famous Chocolate Covered Almonds, then add fresh-roasted Extra Fancy Jumbo Cashews and rich Chocolate Covered Peanuts for a true, gourmet treat. The navy blue satin ribbon is foil-stamped in silver with your logo. You will generate lots of smiles with this tasty gourmet gift! Serves 7-10.","This gourmet tower is packed with an abundance of luscious gourmet treats guaranteed to bring plenty of smiles! We begin with creamy Peppermint Bark and our famous Chocolate Covered Almonds, then add fresh-roasted Extra Fancy Jumbo Cashews and rich Chocolate Covered Peanuts for a true, gourmet treat. The navy blue satin ribbon is foil-stamped in silver with your logo. You will generate lots of smiles with this tasty gourmet gift! Serves 7-10.","Extra Fancy Jumbo Cashews, 5 oz.
Chocolate Covered Almonds, 5 oz.
Chocolate Covered Peanuts, 6 oz.
Peppermint Bark, 5 oz.",,X,6,3,19,X,Tower,7.375,3.875,6.75,,,,,Price includes imprint foil-stamped in silver on navy blue ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NSF2715_HERO.jpg,NSF2715_WEB.jpg,NSF2715_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NSF2739,,X,10,,,Sweet Treats Tower,5,12,49.95,49.65,48.95,,,,,3C,X,"This festive snowflake tower is filled with sweet treats that will thrill each and every recipient! Creamy Peppermint Bark, All That Jazz colorful sweet and salty mix, Swedish Fish, and Chocolate Covered Peanuts are all time favorites. They will thank you... and so will their sweet tooth! Serves 7-10.","This festive snowflake tower is filled with sweet treats that will thrill each and every recipient! Creamy Peppermint Bark, All That Jazz colorful sweet and salty mix, Swedish Fish, and Chocolate Covered Peanuts are all time favorites. They will thank you... and so will their sweet tooth! Serves 7-10.","Peppermint Bark, 5 oz.
All That Jazz Mix, 5 oz.
Swedish Fish, 5 oz.
Chocolate Covered Peanuts, 6 oz.",,X,6,3,14,,Tower,7.375,3.875,6.75,,,,,Price includes imprint foil-stamped in silver on navy blue ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NSF2739_HERO.jpg,NSF2739_WEB.jpg,NSF2739_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NSF2916,,X,10,,,Snowflake Stacker Tower,5,12,49.95,49.65,48.95,,,,,3C,X,"Here’s a healthy and delicious assortment of gourmet snacks to please every palate! Tasty Fruit & Nut Mixes, Turkish Apricots, Jumbo California Pistachios and Ranch Flavored Peanuts will make them smile. The snowflake design brings a festive holiday feel to this gift. Serves 6-9.","Here’s a healthy and delicious assortment of gourmet snacks to please every palate! Tasty Fruit & Nut Mixes, Turkish Apricots, Jumbo California Pistachios and Ranch Flavored Peanuts will make them smile. The snowflake design brings a festive holiday feel to this gift. Serves 6-9.","California Pistachios, 1/4 lb.
Western Trail Mix, 5 oz.
Fancy Turkish Apricots, 5 oz.
Savory Fruit & Nut Mix, 5 oz.
Ranch Flavored Peanuts, 5 oz.",,X,6,3,16,,Tower,7.375,3.875,6.75,,,,,Price includes imprint foil-stamped in silver on navy blue ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NSF2916_HERO.jpg,NSF2916_WEB.jpg,NSF2916_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NSF3565,NSF3565,,10,,71,Tower of Sweets,6,8,74.95,74.65,73.95,,,,,3C,X,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate – White, Milk, and Dark. A ribbon foil-stamped with your logo ties it all together. Serves 9-14.","""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This snowflake and navy blue tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate – White, Milk, and Dark. A navy satin ribbon foil-stamped with your logo ties it all together. Serves 9-14.","Chocolate Covered Almonds, 5 oz.
Chocolate Sea Salt Caramels, 4.75 oz. (8 pieces)
English Butter Toffee, 5 oz. (12 pieces)
Chocolate Sea Salt Caramel Corn, 5 oz.
Cocoa Dusted Truffles, 3.5 oz. (11 pieces)
Chocolate Dipped Pretzels, 2.4 oz. (3 pieces)",,X,4,3,19,X,Tower,7.375,7.375,6.75,,,,,Price includes imprint foil-stamped in silver on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NSF3565_HERO.jpg,NSF3565_WEB.jpg,NSF3565_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NSF445,,X,10,,,Sweet & Savory Snowflake Tower,4,12,39.95,39.65,38.95,,,,,3C,X,This snowflake tower is packed with an abundance of sweet and savory snacks guaranteed to bring plenty of smiles! These are the kind of treats that are guaranteed to please them all. The navy blue satin ribbon is foil-stamped in silver with your logo. You will generate lots of smiles with this tasty sweet and savory gift! This tower is also available in other patterns. Contact factory for options and prices.  Serves 8-12.,This snowflake tower is packed with an abundance of sweet and savory snacks guaranteed to bring plenty of smiles! These are the kind of treats that are guaranteed to please them all. The navy blue satin ribbon is foil-stamped in silver with your logo. You will generate lots of smiles with this tasty sweet and savory gift! This tower is also available in other patterns. Contact factory for options and prices.  Serves 8-12.,"Western Trail Mix, 5 oz.
Ranch Flavored Peanuts, 5 oz.
Cranberry & Walnut Mix, 5 oz.
Fancy Turkish Apricots, 5 oz.",,X,12,3,36,,Tower,3.875,3.875,9,,,,,Price includes imprint foil-stamped in silver on navy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NSF445_HERO.jpg,NSF445_WEB.jpg,NSF445_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NSF859,,,10,,,Ultimate Snowflake Sampler Tower,7,6,99.95,98.95,,,,,,2C,X,"Here's a great gift for an entire office or large family because there's so much to sample and share! This festive snowflake tower contains a supreme assortment of our favorite gourmet delights including 12 pieces of our signature English Butter Toffee, Extra Fancy Jumbo Cashews, our famous Chocolate Covered Almonds and more. Your logo is foil-stamped in silver on the navy blue satin ribbon that ties all this gourmet goodness together. Serves 15-20.","Here's a great gift for an entire office or large family because there's so much to sample and share! This festive snowflake tower contains a supreme assortment of our favorite gourmet delights including 12 pieces of our signature English Butter Toffee, Extra Fancy Jumbo Cashews, our famous Chocolate Covered Almonds and more. Your logo is foil-stamped in silver on the navy blue satin ribbon that ties all this gourmet goodness together. Serves 15-20.","Almond Pecan Honey Corn, 3/4 lb.
Chocolate Covered Peanuts, 6 oz.
English Butter Toffee, 5 oz. (12 pieces)
Choice Virginia Peanuts, 6 oz.
Cocoa Dusted Truffles, 3.5 oz. (11 pieces)
Jumbo California Pistachios, 1/4 lb.
Peppermint Bark, 5 oz.
Extra Fancy Jumbo Cashews, 5 oz.
Chocolate Covered Almonds, 5 oz.
Chocolate Dipped Pretzels, 2.4 oz. (3 pieces)",,X,4,6,25,X,Tower,7.375,7.375,11.125,,,,,Price includes imprint foil-stamped in silver on navy blue ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NSF859_HERO.jpg,NSF859_WEB.jpg,NSF859_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
NV3007,,,9,11,,Navy Gift of Distinction,4,12,39.95,39.65,38.95,38.95,,,,3C,X,"Here you will find the finest premium chocolates nestled within stylish gift boxes. Our navy Gift of Distinction is filled with 12 mouth-watering Pecan Turtles, made with creamy caramel and full-flavored pecans, approximately 40 of our famous Chocolate Covered Almonds and 11 rich and creamy melt-in-your-mouth Cocoa Dusted Truffles. Nearly a pound of sweet temptation!  Your logo is foil-stamped in white on the gift box.","Here you will find the finest premium chocolates nestled within stylish gift boxes. Our navy Gift of Distinction is filled with 12 mouth-watering Pecan Turtles, made with creamy caramel and full-flavored pecans, approximately 40 of our famous Chocolate Covered Almonds and 11 rich and creamy melt-in-your-mouth Cocoa Dusted Truffles. Nearly a pound of sweet temptation!  Your logo is foil-stamped in white on the gift box.",,,X,12,2,22,,Gift Box,10.6875,3.875,2.1875,,,,,Price includes imprint foil-stamped in white on gift box.,2.75,1,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 3.5"" x 5"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,NV3007_HERO.jpg,NV3007_WEB.jpg,NV3007_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
