MRF Item #	Category	Subcategory	New	Item Name	Min Qty	Min -47	48-95	96-239	240-479	480-959	300-599	600-2399	Mfg Code	Setup Charge	Reorder Setup Charge	Setup Charge Code	Catalog Copy	Ingredient Box (List of Ingredients)	Kosher	Units/Case	Ship Weight Each	Weight per Case	"Dimensional
Weight
Applies"	Drop Ship Available	Description	"Product Dimensions
L"	"Product Dimensions
W"	"Product Dimensions
H"	Imprint Details	"Imprint Dimensions
L"	"Imprint Dimensions
W"	Gift Cards Available	Packaging	Extra Bullets	Production Time	Image Filename
CL1101CA	4			Milk Chocolate Covered Oreo® Cookie	300						2.30	2.20	2C	50.00	20.00	C	"Real Oreo® cookies are drenched in smooth, premium milk chocolate, then drizzled with contrasting stripes to create a sweet flavor sensation."	"Milk Chocolate Covered Oreo®, 1 oz."	X	300					Oreo® Packet	3.5	2.5		Price includes 4-color process imprint on 1.25-inch round label.				Packaged 300 units per case.	"Imprint area: 1""D; full bleed: 1.5""D; live area: 1.25""D.
PMS Match: Because artwork is reproduced in 4-color process, an exact match to PMS color is not always possible and cannot be guaranteed.
Shelf life: 3 months in a cool dry place."	5 working days.	CL1101_NoBkgd.jpg
CL1102CA	4			Dark Chocolate Covered Oreo® Cookie	300						2.30	2.20	2C	50.00	20.00	C	"Real Oreo® cookies are drenched in smooth, premium dark chocolate, then drizzled with contrasting stripes to create a sweet flavor sensation."	"Dark Chocolate Covered Oreo®, 1 oz."	X	300					Oreo® Packet	3.5	2.5		Price includes 4-color process imprint on 1.25-inch round label.				Packaged 300 units per case.	"Imprint area: 1""D; full bleed: 1.5""D; live area: 1.25""D.
PMS Match: Because artwork is reproduced in 4-color process, an exact match to PMS color is not always possible and cannot be guaranteed.
Shelf life: 3 months in a cool dry place."	5 working days.	CL1102_NoBkgd.jpg
CL1502CA	4			Chocolate Covered Almonds	300						2.30	2.20	2C	50.00	20.00	C	"Now you can get the same premium chocolates for your promotional needs that you are used to having in your gourmet food gifts. 1.25-ounces of colossal, freshly toasted California almonds are covered in rich milk chocolate. Bet you can't eat just one!"	"Milk Chocolate Almonds, 1.25 oz."	X	300					Snack Pack	5.25	3.25		Price includes 4-color process imprint on 2-inch round label.				Packaged 300 units per case.	"Imprint area: 1.75""D; full bleed: 2.25""D; live area: 2""D.
PMS Match: Because artwork is reproduced in 4-color process, an exact match to PMS color is not always possible and cannot be guaranteed.
Shelf life: 3 months in a cool dry place."	5 working days.	CL1502_NoBkgd.jpg
CL1503CA	4			Cranberry Walnut Trail Mix	300						2.30	2.20	2C	50.00	20.00	C	"Now you can get the same delicious treats for your promotional needs that you are used to having in your gourmet food gifts. Tart, dried cranberries add a tangy note to this healthy, robust and energizing snack mix that includes toasted walnuts wrapped in a sweet sesame seed glaze, 1.25-ounces in total."	"Cranberry Walnut Mix, 1.25 oz."	X	300					Snack Pack	5.25	3.25		Price includes 4-color process imprint on 2-inch round label.				Packaged 300 units per case.	"Imprint area: 1.75""D; full bleed: 2.25""D; live area: 2""D.
PMS Match: Because artwork is reproduced in 4-color process, an exact match to PMS color is not always possible and cannot be guaranteed.
Shelf life: 3 months in a cool dry place."	5 working days.	CL1503_NoBkgd.jpg
CRH7305CA	6		X	Bite-Sized Delights	18	32.65	32.35	31.60	31.60				3C	50.00	20.00	C	"These cookies were created by our chef, who received his degrees in Culinary Baking and Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. This wooden crate (Made in USA) is firebranded with your logo and packed with over 50 gourmet bite-sized cookies in 3 different flavors: Chocolate and Snickerdoodle Artisan Crisps, and Key Lime Tea Cookies. After the delicious cookies have been enjoyed, the basswood crate will be a lasting reminder of your thoughtfulness. Cookies will stay fresh for 90 days if stored at room temperature."	"Chocolate Crisps, 2.5 oz.
Snickerdoodle Crisps, 2.5 oz.
Key Lime Tea Cookies, 4.5 oz."	X	12	2	24	X	X	Wooden Crate	12	4.3125	2.5	Price includes imprint firebranded on top slat of wooden crate.	3	0.625	X	Individual mailing carton is included at no charge.	"Maximum size for enclosure cards: 3.5"" x 5""."	5 working days.	CRH7305_NoBkgd.jpg
CRH7402CA	6		X	Gourmet Cookie Crate	8	85.00	84.65	83.90					3C	50.00	20.00	C	"These cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. He was a chef at the Four Seasons Hotel and also for Presidents George H.W. Bush and Bill Clinton. This large crate (Made in USA) is firebranded with your logo and packed with over 200 gourmet bite-sized cookies in 9 different flavors. After the delicious cookies have been enjoyed, the basswood crate can be used to store magazines, catalogs, or papers. Cookies will stay fresh for 90 days if stored at room temperature."	"Lemon Meringue Cookies, 4.5 oz.
Chocolate Crisps, 2.5 oz.
Snickerdoodle Crisps, 2.5 oz.
Butter Toffee Pecan Cookies, 4.5 oz.
Mixed Berry Tea Cookies, 4.5 oz.
Cranberry Shortbread Cookies, 4.5 oz.
Chocolate Chip Cookies, 4.5 oz.
French Apple Crisps, 2.5 oz.
Key Lime Tea Cookies, 4.5 oz."	X	4	11	35	X	X	Crate	13	9.5	3.25	Price includes your imprint firebranded onto the top slat of crate.	3	0.625	X	Individual mailing carton is included at no charge.		5 working days.	CRH7402_NoBkgd.jpg
CRH7405CA	6		X	Sweet Treats Cookie Crate	12	65.35	65.05	64.30	64.30				3C	50.00	20.00	C	"These cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. This large crate (Made in USA) is firebranded with your logo and packed with gourmet bite-sized cookies in 6 delicious flavors. After the delicious cookies have been enjoyed, the basswood crate can be used to store magazines, catalogs, or papers. Cookies will stay fresh for 90 days if stored at room temperature."	"Lemon Meringue Cookies, 4.5 oz.
Snickerdoodle Crisps, 2.5 oz.
Mixed Berry Tea Cookies, 4.5 oz.
Chocolate Chip Cookies, 4.5 oz.
French Apple Crisps, 2.5 oz.
Key Lime Tea Cookies, 4.5 oz."	X	4	11	35	X	X	Crate	13	9.5	3.25	Price includes your imprint firebranded onto the top slat of crate.	3	0.625	X	Individual mailing carton is included at no charge.		5 working days.	CRH7405_NoBkgd.jpg
CRT3001CA	9	11	X	Chocolate Favorites in Wooden Crate	12	50.10	49.80	49.00	49.00				3C	50.00	20.00	C	"`This handmade wooden crate (Made in USA) is firebranded with your logo and hand-tied with black raffia for an elegant touch. Inside you’ll find 12 mouth-watering Pecan Turtles, made with creamy caramel and full-flavored pecans, approximately 40 of our famous Chocolate Covered Almonds and 12 pieces of our signature English Butter Toffee made with plenty of dairy-fresh Wisconsin butter. With one-pound of some of the finest chocolate available, this makes a wonderful gift for every chocolate lover. Crate is firebranded with your logo on the front."	"English Butter Toffee, 5 oz. (12 pieces)
Pecan Turtles, 6 oz. (12 pieces)
Chocolate Covered Almonds, 5 oz."		12	2	24	X	X	Wooden Crate	12	4.3125	2.5	Price includes imprint firebranded on top slat of wooden crate.	3	0.625	X	Individual mailing carton is included at no charge.	"Maximum size for enclosure cards: 3.5"" x 5""."	5 working days.	CRT3001_NoBkgd.jpg
G6018ICA	10			Golden Delights Tower	8	79.55	79.20	78.45					3C	50.00	20.00	C	"This golden tower is nearly overflowing with an expertly balanced combination of sweet and salty flavors to satisfy every recipient. It features an assortment of traditional favorites: delicious Chocolate Covered Almonds, Cocoa Dusted Truffles, Almond Pecan Caramel Corn, Seasoned Pretzels, Chocolate Covered Oreos®; and for the final touch, two pieces of Godiva® Chocolate. Your logo is foil-stamped in gold on ivory satin ribbon. This is a scrumptious selection that is sure to delight all who are lucky enough to receive it! Serves 8-12."	"Almond Pecan Caramel Corn, 3/4 lb.
Chocolate Covered Almonds, 5 oz.
Cocoa Dusted Truffles, 3.5 oz. (11 pieces)
Seasoned Pretzels, 1/4 lb.
Chocolate Covered Oreo® Cookies, 2.4 oz. (3 pieces)
Godiva® Chocolates, .75 oz. (2 pieces)"		6	9	63	X	X	Tower	6.5	5.75	15.75	Price includes imprint foil-stamped in gold on ivory ribbon.	3	0.75	X	Individual mailing cartons are included at no charge.		5 working days.	G6018I_NoBkgd.jpg
G6018SBCA	10			Golden Delights Tower	8	79.55	79.20	78.45					3C	50.00	20.00	C	"This golden tower is nearly overflowing with an expertly balanced combination of sweet and salty flavors to satisfy every recipient. It features an assortment of traditional favorites: delicious Chocolate Covered Almonds, Cocoa Dusted Truffles, Almond Pecan Caramel Corn, Seasoned Pretzels, Chocolate Covered Oreos®; and for the final touch, two pieces of Godiva® Chocolate. Your logo is foil-stamped in gold on sheer burgundy ribbon. This is a scrumptious selection that is sure to delight all who are lucky enough to receive it! Serves 8-12."	"Almond Pecan Caramel Corn, 3/4 lb.
Chocolate Covered Almonds, 5 oz.
Cocoa Dusted Truffles, 3.5 oz. (11 pieces)
Seasoned Pretzels, 1/4 lb.
Chocolate Covered Oreo® Cookies, 2.4 oz. (3 pieces)
Godiva® Chocolates, .75 oz. (2 pieces)"		6	9	63	X	X	Tower	6.5	5.75	15.75	Price includes imprint foil-stamped in gold on sheer burgundy ribbon.	3	0.75	X	Individual mailing cartons are included at no charge.		5 working days.	G6018SB_NoBkgd.jpg
