STYLE,BRAND,DESCRIPTION,GROUP,SIZE,NET
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,MARBLES,2XL, $	14.42
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,WHITE,XS-XL, $	8.26
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,WHITE,2XL, $	11.05
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,COLORS,XS-XL, $	11.63
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,COLORS,2XL, $	14.42
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,TRIBLENDS,XS-XL, $	15.98
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,TRIBLENDS,2XL, $	18.77
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,WHITE,XS-XL, $	11.61
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,WHITE,2XL, $	14.40
3311,RABBIT SKINS,Toddler 9.17 oz./lin. yd. Jersey Long-Sleeve T-Shirt,COLORS,2T-5T/6T, $	4.53
3311,RABBIT SKINS,Toddler 9.17 oz./lin. yd. Jersey Long-Sleeve T-Shirt,NEUTRALS,2T-5T/6T, $	3.95
3326,RABBIT SKINS,Toddler 12.5 oz./lin. yd. Fleece Pullover Hood,ALL,2T-5T/6T, $	8.71
3401,RABBIT SKINS,Infant 9.17 oz./lin. yd. Short-Sleeve Jersey T-Shirt,HEATHERS,6MOS-24MOS, $	2.81
3401,RABBIT SKINS,Infant 9.17 oz./lin. yd. Short-Sleeve Jersey T-Shirt,COLORS,6MOS-24MOS, $	3.14
3401,RABBIT SKINS,Infant 9.17 oz./lin. yd. Short-Sleeve Jersey T-Shirt,NEUTRALS,6MOS-24MOS, $	2.43
3408,American Apparel,Unisex Rib Tank Top,COLORS,S-XL, $	7.87
3408,American Apparel,Unisex Rib Tank Top,NEUTRALS,S-XL, $	7.11
3480,CANVAS,Unisex Jersey Tank,COLORS,XS-XL, $	8.11
3480,CANVAS,Unisex Jersey Tank,COLORS,2XL, $	10.26
3480,CANVAS,Unisex Jersey Tank,TRIBLENDS,XS-XL, $	9.14
